ID,tenure,predicted_survival_12m,predicted_churn_risk_12m,clv_36m,at_risk_12m,region,marital,ed,retire,gender,voice,internet,forward,custcat
19,1,0.6630107273665236,0.33698927263347644,559.4977149363527,1,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,No,Basic service
20,26,0.795040309100961,0.20495969089903898,687.9706072913251,1,Zone 1,Married,College degree,No,Male,Yes,Yes,Yes,Total service
21,6,0.784349131986976,0.21565086801302402,675.4278231117936,1,Zone 3,Unmarried,Some college,No,Female,No,Yes,No,E-service
22,68,0.9486770909093049,0.051322909090695146,862.3821255531924,0,Zone 1,Married,Did not complete high school,No,Male,No,No,Yes,Basic service
23,53,0.8412730317846572,0.15872696821534282,736.303049208242,1,Zone 3,Unmarried,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service
24,55,0.9443944670802467,0.05560553291975334,856.9032314169442,0,Zone 3,Married,Did not complete high school,No,Male,No,No,No,Basic service
25,14,0.9778296318556132,0.022170368144386776,896.6301754478485,0,Zone 3,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
26,1,0.8025397940966187,0.19746020590338131,686.8377245827309,1,Zone 2,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
27,42,0.8362757529450552,0.16372424705494482,731.2250965181028,1,Zone 2,Unmarried,High school degree,No,Female,Yes,Yes,No,Total service
28,25,0.9392722767839132,0.06072772321608677,849.2836077343893,0,Zone 3,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
29,9,0.7321282204509453,0.2678717795490547,625.7390988159657,1,Zone 1,Married,High school degree,No,Female,No,No,No,Basic service
30,13,0.8784373232809644,0.12156267671903564,776.4591043138241,0,Zone 2,Married,College degree,No,Female,No,Yes,No,E-service
31,56,0.9030732004155282,0.09692679958447181,806.9585641567634,0,Zone 1,Married,Did not complete high school,No,Female,No,Yes,No,E-service
32,71,0.9557975492037871,0.04420245079621288,871.3536246077267,0,Zone 1,Married,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service
33,35,0.9868508693319201,0.013149130668079878,910.9098439957232,0,Zone 1,Married,High school degree,No,Female,No,No,Yes,Plus service
34,11,0.8455940040193413,0.15440599598065874,740.1822731522227,1,Zone 1,Married,Post-undergraduate degree,No,Male,No,Yes,No,E-service
35,60,0.9138388632028898,0.08616113679711024,819.751015803238,0,Zone 2,Married,Some college,No,Male,Yes,Yes,Yes,Total service
36,20,0.8956017405140507,0.10439825948594927,797.1504534966953,0,Zone 3,Married,College degree,No,Male,No,Yes,No,E-service
37,54,0.9656415177001932,0.03435848229980676,883.6264933826733,0,Zone 2,Unmarried,College degree,No,Male,Yes,Yes,No,Total service
38,44,0.9390728220728807,0.060927177927119325,850.1133057601282,0,Zone 1,Married,High school degree,No,Male,Yes,No,Yes,Plus service
39,11,0.888426678366844,0.11157332163315603,786.9327433843115,0,Zone 1,Married,Did not complete high school,No,Female,Yes,No,Yes,Plus service
40,72,0.9862359293497059,0.013764070650294058,910.7729948105643,0,Zone 2,Unmarried,High school degree,Yes,Female,No,No,Yes,Plus service
41,10,0.9217257302496785,0.07827426975032148,824.7369504921817,0,Zone 3,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
42,15,0.8336804701944937,0.16631952980550635,728.3676600677828,1,Zone 2,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
43,27,0.8284262065192474,0.17157379348075263,723.1989871647103,1,Zone 2,Married,High school degree,No,Male,No,No,No,Basic service
44,9,0.8607442304869567,0.1392557695130433,755.6359723969226,0,Zone 1,Married,College degree,No,Male,Yes,Yes,No,Total service
45,64,0.9707633486543861,0.02923665134561393,890.3795111276045,0,Zone 1,Married,College degree,No,Female,No,No,No,Plus service
46,65,0.8823538240851625,0.1176461759148375,782.6043477447705,0,Zone 1,Married,College degree,No,Male,Yes,Yes,No,E-service
47,49,0.9700578211777676,0.02994217882223238,889.1875475028213,0,Zone 1,Married,College degree,No,Male,No,Yes,No,E-service
48,47,0.8899267100436801,0.11007328995631993,791.6054658927117,0,Zone 3,Married,College degree,No,Male,No,Yes,No,Total service
49,9,0.8611413147086635,0.1388586852913365,756.0642303619138,0,Zone 3,Married,High school degree,No,Female,No,No,No,Basic service
50,5,0.839633028553329,0.160366971446671,730.5726307211761,1,Zone 1,Unmarried,High school degree,No,Female,No,Yes,Yes,Plus service
51,30,0.7707778660989145,0.22922213390108548,662.6427051067335,1,Zone 2,Married,High school degree,No,Male,No,Yes,No,Basic service
52,56,0.9905776169034043,0.00942238309659571,916.4519435083437,0,Zone 1,Married,High school degree,No,Male,No,No,No,E-service
53,10,0.6054685860216324,0.39453141397836755,510.37563405029175,1,Zone 3,Unmarried,College degree,No,Male,Yes,Yes,Yes,Total service
54,7,0.77504487909529,0.22495512090471004,666.7520016842394,1,Zone 1,Married,High school degree,No,Male,No,No,No,Basic service
55,52,0.832671765093191,0.16732823490680904,726.841679936172,1,Zone 1,Unmarried,Some college,No,Male,No,No,No,Basic service
56,36,0.811325815167571,0.18867418483242904,704.5335886094526,1,Zone 2,Married,High school degree,No,Female,No,Yes,No,Basic service
57,27,0.9159314237120223,0.0840685762879777,821.4737116545357,0,Zone 3,Unmarried,Some college,No,Female,No,No,No,E-service
58,58,0.9851478730467023,0.01485212695329774,909.1598313167452,0,Zone 1,Married,Did not complete high school,No,Male,No,No,No,Basic service
59,41,0.9779358236082305,0.022064176391769497,899.2102612270173,0,Zone 2,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
60,47,0.9310006325011347,0.06899936749886526,840.329263413304,0,Zone 2,Married,College degree,No,Female,No,Yes,No,E-service
61,55,0.9374882574062596,0.06251174259374037,848.3824708643969,0,Zone 2,Married,High school degree,No,Female,Yes,No,Yes,Plus service
62,56,0.9374854765452199,0.06251452345478015,848.391685857431,0,Zone 2,Married,High school degree,No,Female,Yes,No,Yes,Total service
63,35,0.9442379113103503,0.055762088689649714,856.1185091442287,0,Zone 3,Unmarried,High school degree,No,Male,No,No,No,Basic service
64,69,0.9437432850704395,0.056256714929560525,856.2407459274197,0,Zone 2,Married,College degree,No,Female,No,Yes,No,Total service
65,44,0.8992475944777062,0.10075240552229381,802.4559539891371,0,Zone 2,Unmarried,High school degree,No,Male,No,Yes,Yes,Total service
66,36,0.9333912912210255,0.06660870877897451,842.8996921566282,0,Zone 3,Married,Did not complete high school,No,Male,No,No,No,Basic service
67,28,0.9854047069058661,0.014595293094133877,908.6056755001347,0,Zone 3,Married,Some college,No,Female,No,No,Yes,Plus service
68,72,0.9980882776020162,0.0019117223979837616,926.9652520054813,0,Zone 1,Married,Did not complete high school,Yes,Male,No,No,Yes,Plus service
69,16,0.7486259863817404,0.2513740136182596,641.67197599864,1,Zone 1,Unmarried,Some college,No,Male,No,No,No,Basic service
70,3,0.7812374478052269,0.21876255219477314,669.8575239562285,1,Zone 3,Unmarried,College degree,No,Female,No,Yes,No,Basic service
71,40,0.9511289292804379,0.04887107071956209,864.8905023744118,0,Zone 1,Married,High school degree,No,Male,No,No,No,Basic service
72,16,0.8379195064584557,0.1620804935415443,732.9969741441197,1,Zone 3,Unmarried,College degree,No,Female,No,Yes,No,E-service
73,20,0.824325009379847,0.17567499062015302,718.8201525428483,1,Zone 1,Unmarried,Some college,No,Male,No,No,No,Basic service
74,48,0.8720707334716357,0.12792926652836434,771.0703156206371,0,Zone 2,Unmarried,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service
75,64,0.9671221874155587,0.032877812584441335,885.6904558036047,0,Zone 2,Married,High school degree,No,Male,No,No,Yes,Plus service
76,8,0.6762296028544079,0.3237703971455921,573.6852065291768,1,Zone 1,Unmarried,High school degree,No,Male,No,Yes,No,Basic service
77,40,0.94659207572119,0.053407924278810026,859.2505966838434,0,Zone 1,Married,Some college,No,Male,No,No,Yes,Plus service
78,38,0.9746910002507068,0.025308999749293237,894.8400568268888,0,Zone 2,Unmarried,High school degree,Yes,Male,No,No,No,Basic service
79,67,0.9800720615011311,0.01992793849886887,902.5520992222503,0,Zone 1,Unmarried,Did not complete high school,No,Female,Yes,No,Yes,Plus service
80,26,0.7843845478240904,0.2156154521759096,676.9437005222247,1,Zone 1,Unmarried,College degree,No,Female,Yes,Yes,Yes,Total service
81,41,0.8798677965620417,0.12013220343795827,780.0446772531217,0,Zone 3,Married,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service
82,2,0.7118497649831657,0.28815023501683434,603.8069212349546,1,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,No,Basic service
83,20,0.9858193502998768,0.014180649700123227,908.5451689939465,0,Zone 3,Married,High school degree,No,Male,Yes,No,Yes,Total service
84,31,0.9328263200474507,0.0671736799525493,841.9479227914743,0,Zone 2,Unmarried,Some college,No,Female,No,No,Yes,Plus service
85,45,0.9264575753314378,0.0735424246685622,834.7874752627229,0,Zone 2,Married,College degree,No,Female,No,Yes,No,E-service
86,33,0.8460538359988712,0.15394616400112882,742.2305475302581,1,Zone 2,Married,High school degree,No,Male,No,No,No,Basic service
87,10,0.8802024484337265,0.11979755156627347,777.3531369190008,0,Zone 1,Unmarried,Some college,No,Male,No,No,No,E-service
88,62,0.9049191998124079,0.09508080018759213,809.1171138169857,0,Zone 2,Married,College degree,No,Male,Yes,Yes,Yes,Total service
89,4,0.8031009306244681,0.19689906937553192,692.4393536584013,1,Zone 2,Unmarried,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service
90,42,0.972772568495925,0.027227431504075028,892.4935405024578,0,Zone 1,Married,College degree,No,Male,No,No,Yes,Plus service
91,27,0.9173281790018543,0.08267182099814574,823.1238627368459,0,Zone 3,Married,Post-undergraduate degree,No,Male,No,Yes,No,E-service
92,38,0.8395542967325751,0.1604457032674249,734.9663911269478,1,Zone 2,Unmarried,College degree,No,Female,No,No,No,Basic service
93,52,0.9184477416109835,0.08155225838901647,825.2457133361802,0,Zone 3,Married,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service
94,35,0.809710647045709,0.19028935295429095,702.871040232024,1,Zone 3,Unmarried,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service
95,3,0.7097997311280955,0.29020026887190453,602.9062964604914,1,Zone 3,Married,High school degree,No,Female,No,No,No,Basic service
96,17,0.7659323841288912,0.2340676158711088,658.77469385739,1,Zone 2,Unmarried,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service
97,55,0.9821964715940436,0.017803528405956448,905.1848917264514,0,Zone 1,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
98,43,0.9423818309152941,0.05761816908470585,854.1523090676673,0,Zone 3,Married,Did not complete high school,No,Female,No,No,No,E-service
99,47,0.9080093104256677,0.09199068957433232,812.7782879117611,0,Zone 2,Married,Did not complete high school,No,Female,No,No,Yes,Plus service
100,65,0.9878049701824687,0.012195029817531289,912.8065608827301,0,Zone 3,Unmarried,High school degree,No,Female,No,No,No,E-service
101,13,0.697640385364161,0.30235961463583905,593.0105081178775,1,Zone 1,Unmarried,Some college,No,Male,No,Yes,Yes,Total service
102,64,0.9130398905229131,0.08696010947708688,818.7886192354517,0,Zone 3,Married,Some college,No,Female,No,No,Yes,Plus service
103,12,0.8220119175219606,0.17798808247803943,715.6199255759358,1,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
104,29,0.847295334426373,0.15270466557362705,743.6378536056659,1,Zone 1,Married,College degree,No,Female,No,Yes,No,E-service
105,23,0.9744715023353353,0.025528497664664695,893.5365544304248,0,Zone 2,Unmarried,Some college,No,Female,No,No,No,E-service
106,14,0.9047767386686802,0.09522326133131975,806.5010176667593,0,Zone 2,Unmarried,Some college,No,Female,No,No,Yes,E-service
107,35,0.9534599973552197,0.04654000264478031,867.5728652599008,0,Zone 1,Unmarried,High school degree,No,Male,No,No,No,Basic service
108,26,0.8920566264437498,0.10794337355625017,793.6525845015547,0,Zone 3,Unmarried,Some college,No,Female,Yes,No,Yes,Total service
109,13,0.6687695131597078,0.3312304868402922,566.2385361176382,1,Zone 1,Unmarried,College degree,No,Male,Yes,Yes,No,Basic service
110,69,0.9641449372998566,0.03585506270014338,881.9374602934179,0,Zone 2,Married,High school degree,No,Male,No,No,No,E-service
111,61,0.9723171256112361,0.027682874388763934,892.3464287677394,0,Zone 3,Married,College degree,No,Female,No,Yes,No,E-service
112,45,0.9047612103132572,0.09523878968674282,808.9310146003365,0,Zone 2,Married,College degree,No,Female,No,No,No,E-service
113,3,0.7603380895459249,0.23966191045407514,649.8379972921982,1,Zone 2,Unmarried,Did not complete high school,No,Female,Yes,No,No,Basic service
114,53,0.8187095332135672,0.1812904667864328,711.5276299851661,1,Zone 2,Unmarried,College degree,No,Male,No,Yes,No,E-service
115,59,0.9136908276077198,0.0863091723922802,819.5739834799134,0,Zone 1,Unmarried,High school degree,No,Female,No,No,Yes,Plus service
116,13,0.686635359065471,0.313364640934529,582.736184043885,1,Zone 1,Unmarried,Some college,No,Female,No,Yes,No,Basic service
117,31,0.8786468398497966,0.12135316015020337,778.5830820342984,0,Zone 3,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
118,40,0.9174575038698273,0.08254249613017273,823.8821942195009,0,Zone 1,Married,High school degree,No,Female,No,No,Yes,Plus service
119,48,0.9638178959226776,0.03618210407732236,881.1561500633645,0,Zone 1,Unmarried,Did not complete high school,No,Male,No,No,Yes,Plus service
120,3,0.49556540359877493,0.5044345964012251,420.9554889403771,1,Zone 3,Unmarried,Did not complete high school,No,Male,No,Yes,Yes,Basic service
121,51,0.9022312289642475,0.09776877103575254,805.9749091094493,0,Zone 2,Unmarried,High school degree,No,Female,No,No,No,Basic service
122,33,0.8815673440224137,0.11843265597758634,781.9392891231278,0,Zone 3,Unmarried,High school degree,No,Male,No,No,No,Basic service
123,14,0.9039868732526986,0.09601312674730145,805.5924245448308,0,Zone 3,Married,Did not complete high school,No,Male,No,No,No,Basic service
124,17,0.8993999258191265,0.10060007418087347,801.02250945445,0,Zone 1,Married,Post-undergraduate degree,No,Male,No,Yes,No,E-service
125,19,0.7392295361328595,0.26077046386714053,632.1817530061018,1,Zone 3,Married,High school degree,No,Male,No,Yes,Yes,Basic service
126,58,0.9328602277733875,0.06713977222661249,842.7447394322369,0,Zone 2,Unmarried,High school degree,No,Female,No,No,No,E-service
127,22,0.703421169976301,0.296578830023699,597.0580396334467,1,Zone 3,Unmarried,High school degree,No,Female,Yes,Yes,No,Total service
128,29,0.8478678457662779,0.15213215423372206,744.2651885619089,1,Zone 2,Married,College degree,No,Male,No,Yes,No,E-service
129,14,0.7882452605099252,0.21175473949007484,681.2117967446721,1,Zone 3,Married,Some college,No,Female,No,Yes,No,E-service
130,70,0.9813423941312249,0.018657605868775073,904.2592712659343,0,Zone 2,Married,Did not complete high school,No,Female,Yes,No,Yes,Total service
131,62,0.9554013190353191,0.04459868096468089,870.7581227357398,0,Zone 1,Married,Did not complete high school,No,Male,No,No,Yes,Plus service
132,7,0.809802081821806,0.19019791817819398,701.4027144719118,1,Zone 2,Married,Did not complete high school,No,Male,No,No,No,Basic service
133,56,0.9654324119511316,0.03456758804886839,883.3978743231764,0,Zone 1,Married,High school degree,No,Male,Yes,No,Yes,Total service
134,50,0.9400617860377549,0.05993821396224508,851.4666371003709,0,Zone 1,Married,Post-undergraduate degree,No,Female,Yes,Yes,Yes,E-service
135,57,0.9186538820384944,0.08134611796150559,825.5208280835304,0,Zone 2,Unmarried,Post-undergraduate degree,No,Male,No,No,Yes,Plus service
136,2,0.6512254121324458,0.3487745878675542,550.2093510958302,1,Zone 3,Unmarried,College degree,No,Female,Yes,Yes,No,Basic service
137,40,0.8848175426301234,0.11518245736987665,785.7174833157344,0,Zone 2,Unmarried,College degree,No,Female,No,No,No,Basic service
138,6,0.9234410270632609,0.07655897293673908,824.0688627986602,0,Zone 2,Unmarried,Post-undergraduate degree,No,Male,No,No,Yes,Plus service
139,23,0.901210770041097,0.09878922995890305,803.938149866034,0,Zone 3,Married,High school degree,No,Female,No,No,Yes,Plus service
140,11,0.7195804409117447,0.28041955908825533,613.8647278983838,1,Zone 3,Unmarried,College degree,No,Male,Yes,Yes,Yes,Total service
141,29,0.8718107964628814,0.1281892035371186,770.825860624856,0,Zone 1,Married,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service
142,42,0.9403393649919929,0.05966063500800711,851.6086798254014,0,Zone 1,Married,High school degree,No,Male,No,No,No,Plus service
143,20,0.8515011683780647,0.14849883162193533,747.9896689360551,0,Zone 1,Married,College degree,No,Female,No,Yes,Yes,Total service
144,72,0.9895037188815418,0.01049628111845824,915.1576305926175,0,Zone 2,Married,Did not complete high school,Yes,Male,No,No,No,E-service
145,2,0.9057636347051967,0.09423636529480328,797.7124198650196,0,Zone 1,Unmarried,Did not complete high school,No,Female,No,No,Yes,Plus service
146,46,0.7471074674450638,0.25289253255493616,636.8713698717008,1,Zone 3,Unmarried,Post-undergraduate degree,No,Female,No,Yes,Yes,Basic service
147,39,0.9377773435223178,0.062222656477682214,848.3653925332287,0,Zone 2,Married,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service
148,24,0.8175249778736428,0.18247502212635724,711.632622072746,1,Zone 3,Married,Some college,No,Female,No,Yes,Yes,E-service
149,59,0.9535004014852955,0.04649959851470453,868.325001470763,0,Zone 3,Married,High school degree,No,Female,No,No,No,E-service
150,65,0.9321399080892266,0.06786009191077336,841.910178580445,0,Zone 1,Unmarried,High school degree,No,Male,No,No,No,E-service
151,50,0.8593505873259196,0.14064941267408038,756.6138807083898,0,Zone 2,Married,High school degree,No,Female,No,No,No,Basic service
152,57,0.8766747484166398,0.12332525158336016,776.1824788133215,0,Zone 1,Unmarried,College degree,No,Female,No,Yes,No,Plus service
153,61,0.8954923782169645,0.10450762178303552,797.9978621096124,0,Zone 3,Unmarried,College degree,No,Female,Yes,Yes,Yes,Total service
154,34,0.9427137810880765,0.05728621891192354,854.1885607625181,0,Zone 3,Unmarried,College degree,No,Male,Yes,Yes,Yes,Total service
155,38,0.9445154556272717,0.05548454437272832,856.6020096743677,0,Zone 3,Unmarried,College degree,No,Male,Yes,No,Yes,Total service
156,3,0.6408892913721859,0.35911070862781413,541.744387672047,1,Zone 1,Married,High school degree,No,Female,Yes,Yes,No,Plus service
157,4,0.6833292111278249,0.31667078887217515,579.5537634033672,1,Zone 2,Unmarried,College degree,No,Male,No,Yes,Yes,Basic service
158,15,0.7567318187758248,0.24326818122417515,649.7069936414739,1,Zone 2,Unmarried,Did not complete high school,No,Male,No,No,No,Basic service
159,25,0.8652056390212037,0.13479436097879627,763.3238962684574,0,Zone 1,Married,College degree,No,Female,No,Yes,No,E-service
160,21,0.9698190578103386,0.030180942189661386,887.1957076011859,0,Zone 3,Unmarried,Did not complete high school,No,Female,No,No,Yes,Plus service
161,50,0.9473961390185397,0.052603860981460304,860.5374199124635,0,Zone 3,Married,Some college,No,Female,No,No,Yes,Plus service
162,65,0.9897048746490561,0.010295125350943901,915.367664395979,0,Zone 2,Married,High school degree,Yes,Female,No,No,Yes,Plus service
163,59,0.9495048204208731,0.05049517957912686,863.3198192680893,0,Zone 2,Married,Did not complete high school,No,Male,No,No,No,Basic service
164,29,0.8721649850617788,0.12783501493822125,771.2236942619189,0,Zone 3,Unmarried,Did not complete high school,No,Female,No,No,No,Plus service
165,60,0.9245698029533512,0.07543019704664877,832.6707262980221,0,Zone 1,Unmarried,Post-undergraduate degree,No,Female,No,Yes,No,E-service
166,71,0.9406472399259734,0.05935276007402657,852.4117808988782,0,Zone 1,Married,High school degree,No,Male,No,Yes,No,E-service
167,38,0.8011694336430231,0.19883056635697693,693.6176337145904,1,Zone 3,Married,College degree,No,Male,Yes,Yes,Yes,Total service
168,16,0.8421981958794713,0.1578018041205287,737.5692023676148,1,Zone 3,Married,High school degree,No,Female,No,No,No,Basic service
169,7,0.6951765943218915,0.3048234056781085,590.9820422689648,1,Zone 3,Unmarried,Some college,No,Male,Yes,No,No,Basic service
170,59,0.9452463191733308,0.054753680826669204,858.0155461107097,0,Zone 1,Unmarried,College degree,No,Male,No,Yes,No,E-service
171,22,0.9304853079689135,0.06951469203108651,838.287384103617,0,Zone 2,Married,College degree,No,Male,Yes,Yes,Yes,Total service
172,18,0.9487813563594916,0.05121864364050843,859.9690563172874,0,Zone 1,Married,Did not complete high school,No,Female,No,No,No,Basic service
173,64,0.9286286252909641,0.07137137470903587,837.6180035039795,0,Zone 2,Married,High school degree,No,Female,Yes,Yes,Yes,Total service
174,7,0.5838191865854288,0.41618081341457125,492.54115621869533,1,Zone 2,Unmarried,College degree,No,Female,No,Yes,No,Basic service
175,65,0.9710004680092692,0.028999531990730798,890.6992854889106,0,Zone 3,Unmarried,High school degree,No,Female,No,No,No,E-service
176,7,0.5269463719942292,0.4730536280057708,444.9475872864776,1,Zone 3,Unmarried,High school degree,No,Male,No,Yes,No,Basic service
177,64,0.9798686841643611,0.020131315835638874,902.2473534286557,0,Zone 1,Unmarried,Did not complete high school,No,Female,No,No,No,Plus service
178,42,0.7933549676078894,0.20664503239211063,685.0767663266339,1,Zone 3,Married,College degree,No,Male,Yes,Yes,Yes,Total service
179,33,0.8090642223845966,0.19093577761540337,702.2989896154669,1,Zone 3,Unmarried,College degree,No,Female,No,Yes,Yes,Total service
180,3,0.781482266865332,0.21851773313466805,670.094383609719,1,Zone 1,Unmarried,College degree,No,Female,No,No,No,Basic service
181,69,0.9053159610265246,0.09468403897347544,809.5432432323357,0,Zone 2,Married,High school degree,No,Male,Yes,Yes,Yes,Total service
182,9,0.7311776126194149,0.26882238738058506,624.8338455517733,1,Zone 2,Unmarried,High school degree,No,Male,No,No,No,Basic service
183,22,0.850422124019236,0.149577875980764,746.9302373661249,0,Zone 3,Married,Some college,No,Male,No,Yes,No,E-service
184,53,0.9673864525541498,0.03261354744585021,885.8424033131057,0,Zone 2,Married,High school degree,No,Male,No,Yes,No,E-service
185,71,0.9841460659455097,0.015853934054490315,907.980625238868,0,Zone 3,Unmarried,Did not complete high school,No,Male,No,No,No,E-service
186,24,0.754427344497483,0.24557265550251695,646.7027180077189,1,Zone 3,Unmarried,Some college,No,Male,No,No,No,Basic service
187,12,0.6116672291965327,0.3883327708034673,515.2338934074301,1,Zone 3,Married,Some college,No,Female,No,Yes,No,Basic service
188,25,0.824927071299844,0.175072928700156,719.4848599754401,1,Zone 1,Married,College degree,No,Male,Yes,Yes,No,E-service
189,63,0.9049791311810382,0.09502086881896177,809.1826745815634,0,Zone 3,Married,High school degree,No,Female,Yes,No,Yes,Plus service
190,33,0.9515223130421583,0.048477686957841715,865.037729010373,0,Zone 1,Married,College degree,No,Female,No,Yes,Yes,Plus service
191,57,0.9560225967043988,0.04397740329560118,871.4675969355948,0,Zone 2,Married,High school degree,No,Female,No,No,No,Basic service
192,13,0.7402078308824673,0.25979216911753267,633.5955006986081,1,Zone 3,Unmarried,Some college,No,Female,Yes,Yes,Yes,Total service
193,13,0.7121766472524497,0.28782335274755033,606.7162903326858,1,Zone 1,Unmarried,Some college,No,Female,No,Yes,No,E-service
194,71,0.8905917039728952,0.10940829602710478,792.1255924708878,0,Zone 1,Unmarried,Some college,No,Male,Yes,No,No,Plus service
195,18,0.9545272947174681,0.04547270528253189,867.147331382786,0,Zone 3,Married,Some college,No,Male,Yes,Yes,Yes,Total service
196,17,0.9270123976758885,0.0729876023241115,833.2862006017662,0,Zone 1,Married,High school degree,No,Female,No,No,No,Basic service
197,22,0.8316754902725486,0.1683245097274514,726.6894887078616,1,Zone 2,Unmarried,High school degree,No,Male,No,No,No,Basic service
198,65,0.9928904143114433,0.0071095856885566855,919.7031721467876,0,Zone 2,Married,Some college,No,Male,No,No,Yes,Plus service
199,7,0.6778506754644846,0.32214932453551537,575.1598998436277,1,Zone 3,Unmarried,College degree,No,Female,No,Yes,No,Basic service
200,72,0.9615825212992298,0.03841747870077017,878.6984242690795,0,Zone 3,Unmarried,College degree,No,Female,Yes,Yes,Yes,Total service
201,35,0.8786504562367458,0.12134954376325424,778.645408640764,0,Zone 1,Unmarried,Some college,No,Male,No,No,No,Basic service
202,24,0.8282426017463483,0.17175739825365166,723.0338233723958,1,Zone 1,Unmarried,College degree,No,Male,No,Yes,Yes,Total service
203,64,0.8640288123640656,0.1359711876359344,761.5455297422421,0,Zone 1,Married,Some college,No,Female,No,Yes,No,E-service
204,63,0.990369585035073,0.009630414964927003,916.2482570141798,0,Zone 2,Married,Some college,No,Male,No,No,No,E-service
205,38,0.9061997918464316,0.09380020815356838,810.5202986032431,0,Zone 1,Married,College degree,No,Male,Yes,No,Yes,Total service
206,29,0.8823081908104722,0.11769180918952782,782.6807441900723,0,Zone 2,Married,Some college,No,Male,No,No,No,Basic service
207,72,0.998922531986434,0.0010774680135660075,928.1553808582487,0,Zone 1,Married,High school degree,Yes,Female,No,No,No,Plus service
208,10,0.7310699743573298,0.2689300256426702,624.7953459899105,1,Zone 1,Married,Some college,No,Female,Yes,Yes,Yes,Total service
209,72,0.9878205157445461,0.012179484255453898,912.8937286968888,0,Zone 3,Unmarried,College degree,No,Female,Yes,No,Yes,Plus service
210,52,0.9031703432189274,0.09682965678107258,807.081057831271,0,Zone 3,Married,College degree,No,Female,No,No,Yes,Plus service
